Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2011-09-28,48.679,73.320,74.920,73.240,74.300,1831200,-1.279,-0.013
2011-09-29,48.128,72.490,74.390,71.000,74.250,3619300,-1.132,-0.011
2011-09-30,48.227,72.640,73.400,71.530,71.690,3346500,0.207,0.002
2011-10-03,47.245,71.160,73.290,71.110,72.580,2724100,-2.037,-0.021
2011-10-04,48.267,72.700,72.760,70.370,70.450,2300000,2.164,0.021
2011-10-05,48.128,72.490,73.770,71.970,73.100,2974300,-0.289,-0.003
2011-10-06,48.552,73.130,73.730,72.110,72.270,2150800,0.883,0.009
2011-10-07,49.130,74.000,74.800,73.080,73.600,2385800,1.190,0.012
2011-10-10,50.292,75.750,75.810,74.510,75.240,1543000,2.365,0.023
2011-10-11,50.670,76.320,76.600,75.460,75.460,1597200,0.752,0.007
2011-10-12,50.544,76.130,76.920,75.960,76.630,1437000,-0.249,-0.002
2011-10-13,50.730,76.410,76.590,75.280,75.900,1138000,0.368,0.004
2011-10-14,50.451,75.990,77.100,75.730,77.010,1745000,-0.550,-0.006
2011-10-17,49.608,74.720,76.450,74.560,75.750,2477000,-1.671,-0.017
2011-10-18,50.445,75.980,76.420,74.240,74.800,1959500,1.686,0.017
2011-10-19,50.106,75.470,76.680,75.210,75.900,1226700,-0.671,-0.007
2011-10-20,50.259,75.700,76.050,74.810,75.750,1368600,0.305,0.003
2011-10-21,51.387,77.400,77.400,75.640,76.410,2122300,2.246,0.022
2011-10-24,52.270,78.730,78.860,76.570,77.390,2207100,1.718,0.017
2011-10-25,52.377,78.890,79.900,78.050,78.660,3274900,0.203,0.002
2011-10-26,50.690,76.350,78.940,75.640,78.940,4405800,-3.220,-0.033
2011-10-27,50.226,75.650,78.300,75.220,78.020,3157700,-0.917,-0.009
2011-10-28,50.079,75.430,76.690,75.060,75.720,2244700,-0.291,-0.003
2011-10-31,50.392,75.900,77.000,75.090,75.280,3272200,0.623,0.006
2011-11-01,49.123,73.990,75.060,73.480,74.560,2709200,-2.516,-0.025
2011-11-02,49.475,74.520,75.290,74.330,74.730,1968600,0.716,0.007
2011-11-03,50.518,76.090,76.210,74.600,75.160,1411900,2.107,0.021
2011-11-04,50.803,76.520,76.520,74.740,75.530,2933000,0.565,0.006
2011-11-07,51.958,78.260,78.420,75.960,76.430,2541900,2.274,0.022
2011-11-08,52.045,78.390,78.870,77.540,78.420,2209200,0.166,0.002
2011-11-09,51.089,76.950,77.530,76.560,77.020,2773000,-1.837,-0.019
2011-11-10,50.544,76.130,77.400,75.770,77.300,2608300,-1.066,-0.011
2011-11-11,51.401,77.420,77.810,76.780,76.940,1728900,1.694,0.017
2011-11-14,51.354,77.350,77.950,77.230,77.330,1497800,-0.090,-0.001
2011-11-15,51.686,77.850,78.140,77.010,77.120,1405800,0.646,0.006
2011-11-16,50.411,75.930,77.320,75.770,77.100,2368200,-2.466,-0.025
2011-11-17,49.900,75.160,75.980,74.390,75.750,2895000,-1.014,-0.010
2011-11-18,49.860,75.100,75.720,74.940,75.600,6630400,-0.080,-0.001
2011-11-21,49.455,74.490,74.890,72.370,74.160,8533400,-0.812,-0.008
2011-11-22,49.442,74.470,74.940,73.570,74.510,2297300,-0.027,-0.000
2011-11-23,49.097,73.950,74.570,73.550,73.760,2479700,-0.698,-0.007
2011-11-25,50.053,75.390,76.230,74.000,74.020,2001900,1.947,0.019
2011-11-28,51.786,78.000,78.000,76.000,76.810,5886500,3.462,0.034
2011-11-29,51.456,76.510,77.290,76.350,77.290,2644800,-0.636,-0.006
2011-11-30,52.559,78.150,78.860,77.730,78.030,2998500,2.143,0.021
2011-12-01,53.117,78.980,79.490,78.110,78.140,1896800,1.062,0.011
2011-12-02,52.337,77.820,79.800,77.230,79.550,2421700,-1.469,-0.015
2011-12-05,52.532,78.110,78.660,77.600,78.560,2524900,0.373,0.004
2011-12-06,52.398,77.910,78.490,77.620,77.800,1498300,-0.256,-0.003
2011-12-07,52.169,77.570,78.050,77.370,77.940,2092300,-0.436,-0.004
2011-12-08,51.463,76.520,77.650,76.420,77.470,1797200,-1.354,-0.014
2011-12-09,52.068,77.420,77.700,77.020,77.050,1239700,1.176,0.012
2011-12-12,51.712,76.890,77.470,76.400,77.440,1450200,-0.685,-0.007
2011-12-13,51.604,76.730,77.770,76.460,77.380,1642200,-0.208,-0.002
2011-12-14,51.308,76.290,76.870,76.020,76.720,1439800,-0.573,-0.006
2011-12-15,51.732,76.920,77.520,76.760,77.070,1972300,0.826,0.008
2011-12-16,51.853,77.100,77.880,76.320,77.620,4215600,0.234,0.002
2011-12-19,51.665,76.820,77.690,76.600,77.280,1393200,-0.363,-0.004
2011-12-20,52.815,78.530,78.870,77.830,77.940,1749900,2.226,0.022
2011-12-21,53.555,79.630,79.690,78.020,78.450,1820700,1.401,0.014
2011-12-22,54.348,80.810,81.030,79.630,79.820,2793300,1.482,0.015
2011-12-23,54.752,81.410,81.460,80.670,81.000,1927500,0.742,0.007
2011-12-27,54.691,81.320,81.660,80.940,81.330,1483200,-0.111,-0.001
2011-12-28,54.436,80.940,81.780,80.850,81.680,840400,-0.467,-0.005
2011-12-29,54.826,81.520,81.740,80.880,80.960,1123700,0.717,0.007
2011-12-30,54.409,80.900,81.860,80.860,81.650,1474700,-0.761,-0.008
2012-01-03,55.162,82.020,82.990,81.770,82.120,2273600,1.384,0.014
2012-01-04,54.415,80.910,81.450,80.370,80.950,2242700,-1.353,-0.014
2012-01-05,53.850,80.070,80.680,79.050,80.660,2616100,-1.038,-0.010
2012-01-06,53.790,79.980,80.410,79.650,80.410,4274300,-0.112,-0.001
2012-01-09,53.830,80.040,80.350,79.760,80.350,1861500,0.075,0.001
2012-01-10,54.220,80.620,81.200,80.360,80.630,1846700,0.725,0.007
2012-01-11,54.328,80.780,81.130,80.490,80.490,1245900,0.198,0.002
2012-01-12,54.940,81.690,81.770,80.760,81.120,1822300,1.127,0.011
2012-01-13,54.826,81.520,81.530,80.800,81.160,1475600,-0.208,-0.002
2012-01-17,54.906,81.640,82.100,81.350,82.050,1953700,0.147,0.001
2012-01-18,55.337,82.280,82.280,81.340,81.590,1155900,0.784,0.008
2012-01-19,56.299,83.710,83.710,81.850,82.250,1959400,1.738,0.017
2012-01-20,55.673,82.780,83.440,82.540,83.150,2461700,-1.111,-0.011
2012-01-23,55.512,82.540,82.860,81.900,82.830,1716700,-0.290,-0.003
2012-01-24,55.310,82.240,82.810,82.120,82.550,1139000,-0.363,-0.004
2012-01-25,54.967,81.730,82.270,81.250,82.040,2421500,-0.620,-0.006
2012-01-26,55.465,82.470,82.950,81.290,82.470,2733700,0.905,0.009
2012-01-27,55.162,82.020,82.550,81.660,82.000,1952500,-0.546,-0.005
2012-01-30,55.155,82.010,82.130,81.290,81.320,3109900,-0.012,-0.000
2012-01-31,55.364,82.320,82.400,81.700,82.200,2878600,0.378,0.004
2012-02-01,56.171,83.520,83.720,82.260,82.540,2114100,1.458,0.014
2012-02-02,55.935,83.170,83.700,82.900,83.560,1298800,-0.419,-0.004
2012-02-03,56.890,84.590,84.730,83.250,83.410,3366800,1.707,0.017
2012-02-06,57.334,85.250,85.400,84.340,84.380,2028300,0.780,0.008
2012-02-07,58.262,86.630,86.640,85.000,85.000,2871300,1.619,0.016
2012-02-08,58.942,87.640,87.710,86.140,86.570,3394000,1.166,0.012
2012-02-09,59.190,88.010,88.070,87.400,87.660,2865000,0.422,0.004
2012-02-10,58.854,87.510,87.720,87.000,87.130,1928200,-0.568,-0.006
2012-02-13,59.338,88.230,88.250,86.980,87.640,2583400,0.823,0.008
2012-02-14,59.486,88.450,88.550,87.660,87.730,1676700,0.249,0.002
2012-02-15,58.464,86.930,87.920,86.770,87.680,3474000,-1.719,-0.017
2012-02-16,58.108,86.400,87.210,86.060,86.850,2298500,-0.610,-0.006
2012-02-17,59.177,87.990,88.310,86.620,86.720,2734000,1.840,0.018
2012-02-21,58.612,87.150,87.900,86.790,87.860,1738700,-0.955,-0.010
2012-02-22,58.928,87.620,88.090,87.260,87.340,1241400,0.539,0.005
2012-02-23,59.379,88.290,88.390,87.570,87.810,7431200,0.765,0.008
2012-02-24,60.213,89.530,90.150,88.400,88.480,7279200,1.404,0.014
2012-02-27,60.132,89.410,90.000,89.080,89.520,2905000,-0.134,-0.001
2012-02-28,60.329,88.700,88.860,88.000,88.850,1866000,0.328,0.003
2012-02-29,60.132,88.410,89.310,88.390,88.880,2832200,-0.327,-0.003
2012-03-01,60.105,88.370,88.970,88.140,88.610,1608300,-0.045,-0.000
2012-03-02,60.193,88.500,89.050,88.300,88.400,1334200,0.147,0.001
2012-03-05,60.316,88.680,89.080,88.560,89.020,1458500,0.203,0.002
2012-03-06,59.703,87.780,88.840,87.680,87.980,1442200,-1.015,-0.010
2012-03-07,59.826,87.960,88.070,87.410,87.810,1280500,0.205,0.002
2012-03-08,60.112,88.380,89.000,88.260,88.570,1159400,0.478,0.005
2012-03-09,60.472,88.910,89.120,88.220,88.820,1177800,0.600,0.006
2012-03-12,60.533,89.000,89.290,88.620,88.710,1113600,0.101,0.001
2012-03-13,60.975,89.650,89.710,88.800,89.380,1626500,0.730,0.007
2012-03-14,61.499,90.420,91.010,89.780,89.860,2039300,0.859,0.009
